Date,Time,Order Number,Item Description,Quantity Sold,Sold Price
2026-02-23,7:42:17,16-14267-58943,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,14.58
2026-02-23,10:26:48,04-14285-59219,George Kittle Press Proof Blue 2025 Panini Donruss 59 SF 49ers,1,1.39
2026-02-23,12:11:29,02-14289-24629,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,5.49
2026-02-23,12:12:48,01-14290-96661,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,5.49
2026-02-23,14:14:08,18-14266-66761,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,5.49
2026-02-23,14:17:29,04-14286-71748,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,5.49
2026-02-23,16:33:54,22-14261-42693,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,10.98
2026-02-23,17:22:46,08-14281-37620,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,6.29
2026-02-23,18:43:00,01-14292-42489,NFL 25-Card Football Lot | Guaranteed Auto Patch or #'d | Optic Prizm! See Desc,1,19.99
2026-02-24,2:33:39,22-14262-85725,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,13.98
2026-02-24,3:14:13,07-14284-50511,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,6.99
2026-02-24,3:35:33,02-14291-84849,2026 Topps Now Olympics Jack Hughes 18 Team USA Hockey Gold Medal PRESALE,1,20.97
2026-02-24,10:17:01,08-14284-28085,Team Rockets Dugtrio - 239/217 - Ascended Heroes - Illustration Rare Pokemon TCG,1,20
2026-02-24,20:11:20,15-14276-57759,6 Count Pokemon TCG 2026 Pokemon Day Collection SEALED | BOX DISPLAY CASE,1,170
2026-02-26,23:54:42,05-14301-23694,Kenneth Walker III Super Bowl MVP 2026 Panini Instant NFL #444 Seahawks PRESALE,1,7.49
2026-02-27,4:55:58,07-14298-76296,Adam Vinatieri 2025 Panini Instant #440 Patriots Legend HOF Inductee PRESALE,1,6.79
2026-02-27,22:03:10,25-14276-58902,Kenneth Walker III Super Bowl MVP 2026 Panini Instant NFL #444 Seahawks PRESALE,1,7.49
2026-02-28,8:57:46,19-14286-87870,N's PP Up #262/217 Full Art Ultra Rare Pokemon Ascended Heroes ENGLISH NM-MINT+,1,10.99
2026-02-28,11:41:47,02-14312-10201,Alex Bregman 2025 Topps Allen & Ginter Foil Filagree Boston Red Sox #174,1,1.29
2026-02-28,11:45:19,02-14312-12126,Kenneth Walker III Super Bowl MVP 2026 Panini Instant NFL #444 Seahawks PRESALE,1,7.49
2026-03-02,12:34:32,01-14323-79637,2026 Topps Baseball Series 1 - Hobby Jumbo Box - IN HAND,1,279.99
2026-03-02,15:14:34,01-14324-55237,Pokemon Charizard X UPC Ultra Premium Collection - ALL ACCESSORIES + BOX,1,13.99
2026-03-13,10:30:20,13-14356-12384,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,6.75
2026-03-13,14:30:25,06-14367-20059,Charmeleon Friend Ball Reverse Holo 021/217 Ascended Heroes ASC EN MINT,1,2.99
2026-03-13,14:30:25,06-14367-20059,Charmander Pixel Cosmos Holo 020/217 Ascended Heroes On Hand MINT,1,2.49
2026-03-13,14:30:27,06-14367-20059,Charmeleon Fire Energy Reverse Holo 021/217 Ascended Heroes ASC EN MINT,1,2.49
2026-03-14,13:02:51,16-14356-36065,Lapras 131/165 Reverse Holo Scarlet & Violet 151 Pokemon TCG NM,1,2.79
